# x (EAST), 			y (NORTH), 			z (UP)
-2.182279119988378771e-02,-3.407436970254929864e+00,0.000000000000000000e+00
-2.814932839237818674e-01,1.875203852967978646e+00,0.000000000000000000e+00
-3.302742338079524220e+00,-3.924383776820485004e+00,0.000000000000000000e+00
2.462407770567904830e-01,3.676279400966872557e-01,0.000000000000000000e+00
2.184757034111191487e+00,-4.994191210097661759e+00,0.000000000000000000e+00
3.184625691398649927e+00,2.027157948354404660e+00,0.000000000000000000e+00
5.434377221140961112e+00,1.780536885503843925e+00,0.000000000000000000e+00
5.757763687196690405e+00,-8.712423694323536694e-01,0.000000000000000000e+00
3.826871644447928378e-01,-5.079322709198965669e+00,0.000000000000000000e+00
-4.332555313423685384e+00,1.241408516676461682e+00,0.000000000000000000e+00
3.942845574843067524e+00,-2.521914858843150586e+00,0.000000000000000000e+00
-9.092941750749570229e-01,1.319513965031563263e+00,0.000000000000000000e+00
3.643250591438798480e+00,-1.075821296669698279e+00,0.000000000000000000e+00
5.492486511820552586e+00,-2.226546303586191267e-01,0.000000000000000000e+00
-8.094087178985365227e-02,1.471232056069445571e-01,0.000000000000000000e+00
3.369486497452579332e+00,1.371517977310279690e+00,0.000000000000000000e+00
2.995707574301761156e+00,1.514734616402678036e+00,0.000000000000000000e+00
3.473882942151626185e+00,-3.945382678104075946e+00,0.000000000000000000e+00
-5.133727168941216057e+00,-2.834783732940757250e+00,0.000000000000000000e+00
-9.516435545613505242e-02,-2.528841386261394125e-02,0.000000000000000000e+00
2.377121041613846908e-01,-5.987646512079628502e-01,0.000000000000000000e+00
5.410836305557862325e+00,7.140945323660934374e-01,0.000000000000000000e+00
7.180468950588718702e-01,1.131159402636920941e+00,0.000000000000000000e+00
3.135116931857614642e+00,-4.500704374165699129e+00,0.000000000000000000e+00
-4.343293711339713536e-01,1.848764099255535864e+00,0.000000000000000000e+00
-3.345921463901849524e+00,3.670371991384851817e+00,0.000000000000000000e+00
3.906612919442700171e+00,-1.888127553141011106e+00,0.000000000000000000e+00
-2.471147248405930252e+00,3.912155799484271501e+00,0.000000000000000000e+00
1.639792964795374175e+00,-7.742438709610910408e-01,0.000000000000000000e+00
1.990602592798779380e+00,-1.864630479784156414e+00,0.000000000000000000e+00
-3.968265474168330087e+00,3.843270114957499040e+00,0.000000000000000000e+00
1.516322134398938593e+00,-6.218936300943227469e-01,0.000000000000000000e+00
-6.312636803946242159e-01,-1.898019783088152668e+00,0.000000000000000000e+00
9.414584127241053535e-01,-2.316877917844940793e+00,0.000000000000000000e+00
-3.086177269609613916e+00,-1.026152306482152055e+00,0.000000000000000000e+00
-2.190511459903075497e+00,5.430402808543876025e-01,0.000000000000000000e+00
-1.358544469731308262e-03,-3.802218938640671269e-03,0.000000000000000000e+00
2.522939312530898537e+00,-4.133145765160302076e+00,0.000000000000000000e+00
1.557279035399938616e+00,-3.413288062575078996e+00,0.000000000000000000e+00
-5.130304440613708827e+00,7.135569167310884531e-01,0.000000000000000000e+00
-4.370604811856219074e-01,-2.611958595413600648e+00,0.000000000000000000e+00
